mesh_term,mesh_id
Computational Biology,D019295
Risk,D012306
DNA Copy Number Variations,D056915
Bayes Theorem,D001499
Parenting,D016487
alpha-Amylases,D000516
Environment,D004777
Environment Design,D004779
Attitude of Health Personnel,D001291
Ecosystem,D017753
"Chromosomes, Human, Y",D041322
Speech Discrimination Tests,D013063
Regression Analysis,D012044
"Games, Experimental",D005717
Apraxias,D001072
Competitive Behavior,D003163
Analysis of Variance,D000704
Beauty,D001504
Identification (Psychology),D007062
Professional-Patient Relations,D011369
Psychological Tests,D011581
Combined Modality Therapy,D003131
Risk-Taking,D012309
Sequence Analysis,D017421
Alcohol Drinking,D000428
Physical Processes,D055586
Eye Movements,D005133
Skin Pigmentation,D012880
Gamma Rhythm,D065818
Adjustment Disorders,D000275
Self-Evaluation Programs,D012655
Cochlear Implantation,D019929
Serotonin,D012701
"Psychotherapy, Group",D011615
Queensland,D011793
Parent-Child Relations,D010287
Genetic Association Studies,D056726
Health Status,D006304
Absenteeism,D000041
Interviews as Topic,D007407
Asthma,D001249
Intelligence Tests,D007361
Pitch Perception,D010898
Kinetics,D007700
Plants,D010944
Genetic Techniques,D005821
Prenatal Nutritional Physiological Phenomena,D039401
Magnetoencephalography,D015225
Nutrition Assessment,D015596
Erotica,D004882
Body Weights and Measures,D001837
Neuropharmacology,D009480
"Social Control, Informal",D012927
Tryptophan Hydroxylase,D014365
Outcome Assessment (Health Care),D017063
Speech Articulation Tests,D013062
Neurotoxins,D009498
Power (Psychology),D011209
Social Desirability,D012928
Haplorhini,D000882
Evoked Potentials,D005071
Art,D001154
Occipital Lobe,D009778
"Polymorphism, Genetic",D011110
Size Perception,D012858
Autonomic Nervous System,D001341
Homozygote,D006720
Obsessive Hoarding,D060845
Diagnostic Errors,D003951
Dependency (Psychology),D003858
Parents,D010290
Sports,D013177
International Classification of Diseases,D038801
Stereotyped Behavior,D013239
Ecology,D004463
Diagnosis,D003933
Population,D011153
Gravidity,D020073
"Child, Institutionalized",D002674
Publishing,D011643
"Psychoses, Substance-Induced",D011605
Urban Population,D014505
Patient-Centered Care,D018802
Perceptual Closure,D010466
"Pregnancy Trimester, Third",D011263
Synapses,D013569
School Health Services,D012572
Cocaine-Related Disorders,D019970
"Diapers, Infant",D041381
Neonatal Screening,D015997
Cost of Illness,D017281
Age Distribution,D017677
Disease Management,D019468
Acquired Immunodeficiency Syndrome,D000163
Retrospective Studies,D012189
Museums,D009144
Limbic System,D008032
Random Allocation,D011897
Registries,D012042
De Lange Syndrome,D003635
Language Therapy,D007808
"Receptors, Dopamine D2",D017448
Rest,D012146
"Interview, Psychological",D007406
Belgium,D001530
"Generalization, Stimulus",D005795
Hotlines,D015277
Body Patterning,D019521
Democratic Republic of the Congo,D015023
Kinesthesis,D007699
Adolescent Development,D041923
Hearing Disorders,D006311
Delay Discounting,D065786
Cognitive Science,D019336
Dehydroepiandrosterone,D003687
Point Mutation,D017354
Linkage Disequilibrium,D015810
Thailand,D013785
Maze Learning,D018782
House Calls,D006792
India,D007194
Automatic Data Processing,D001330
"Remission, Spontaneous",D012075
Computer-Assisted Instruction,D003194
Adult,D000328
Cognition Disorders,D003072
"Homosexuality, Female",D018452
Base Sequence,D001483
"Databases, Factual",D016208
Rural Population,D012424
Quality of Life,D011788
