"category","topic","tree_header","term","tree_number","descriptor_id"
"Phenomena and Processes","Physical Phenomena","G01","Physical Phenomena","G01","http://id.nlm.nih.gov/mesh/D055585"
"Phenomena and Processes","Physical Phenomena","G01","Astronomical Phenomena","G01.060","http://id.nlm.nih.gov/mesh/D055580"
"Phenomena and Processes","Physical Phenomena","G01","Astronomical Objects","G01.060.249","http://id.nlm.nih.gov/mesh/D055587"
"Phenomena and Processes","Physical Phenomena","G01","Extraterrestrial Environment","G01.060.249.159","http://id.nlm.nih.gov/mesh/D005118"
"Phenomena and Processes","Physical Phenomena","G01","Cosmic Dust","G01.060.249.159.200","http://id.nlm.nih.gov/mesh/D019443"
"Phenomena and Processes","Physical Phenomena","G01","Galaxies","G01.060.249.320","http://id.nlm.nih.gov/mesh/D055608"
"Phenomena and Processes","Physical Phenomena","G01","Meteoroids","G01.060.249.500","http://id.nlm.nih.gov/mesh/D019110"
"Phenomena and Processes","Physical Phenomena","G01","Planets","G01.060.249.680","http://id.nlm.nih.gov/mesh/D016083"
"Phenomena and Processes","Physical Phenomena","G01","Solar System","G01.060.249.730","http://id.nlm.nih.gov/mesh/D016082"
"Phenomena and Processes","Physical Phenomena","G01","Minor Planets","G01.060.249.730.600","http://id.nlm.nih.gov/mesh/D018543"
"Phenomena and Processes","Physical Phenomena","G01","Pluto","G01.060.249.730.600.500","http://id.nlm.nih.gov/mesh/D018542"
"Phenomena and Processes","Physical Phenomena","G01","Planets","G01.060.249.730.700","http://id.nlm.nih.gov/mesh/D016083"
"Phenomena and Processes","Physical Phenomena","G01","Earth (Planet)","G01.060.249.730.700.200","http://id.nlm.nih.gov/mesh/D018534"
"Phenomena and Processes","Physical Phenomena","G01","Moon","G01.060.249.730.700.200.500","http://id.nlm.nih.gov/mesh/D016081"
"Phenomena and Processes","Physical Phenomena","G01","Jupiter","G01.060.249.730.700.412","http://id.nlm.nih.gov/mesh/D018538"
"Phenomena and Processes","Physical Phenomena","G01","Mars","G01.060.249.730.700.625","http://id.nlm.nih.gov/mesh/D018535"
"Phenomena and Processes","Physical Phenomena","G01","Mercury (Planet)","G01.060.249.730.700.762","http://id.nlm.nih.gov/mesh/D018537"
"Phenomena and Processes","Physical Phenomena","G01","Neptune","G01.060.249.730.700.796","http://id.nlm.nih.gov/mesh/D018541"
"Phenomena and Processes","Physical Phenomena","G01","Saturn","G01.060.249.730.700.831","http://id.nlm.nih.gov/mesh/D018539"
"Phenomena and Processes","Physical Phenomena","G01","Uranus","G01.060.249.730.700.865","http://id.nlm.nih.gov/mesh/D018540"
"Phenomena and Processes","Physical Phenomena","G01","Venus","G01.060.249.730.700.900","http://id.nlm.nih.gov/mesh/D018536"
"Phenomena and Processes","Physical Phenomena","G01","Stars, Celestial","G01.060.249.750","http://id.nlm.nih.gov/mesh/D055609"
"Phenomena and Processes","Physical Phenomena","G01","Astronomical Processes","G01.060.374","http://id.nlm.nih.gov/mesh/D055588"
"Phenomena and Processes","Physical Phenomena","G01","Cosmic Radiation","G01.060.374.134","http://id.nlm.nih.gov/mesh/D003359"
"Phenomena and Processes","Physical Phenomena","G01","Evolution, Planetary","G01.060.374.270","http://id.nlm.nih.gov/mesh/D019419"
"Phenomena and Processes","Physical Phenomena","G01","Evolution, Chemical","G01.060.374.270.500","http://id.nlm.nih.gov/mesh/D019418"
"Phenomena and Processes","Physical Phenomena","G01","Solar Activity","G01.060.374.800","http://id.nlm.nih.gov/mesh/D019445"
"Phenomena and Processes","Physical Phenomena","G01","Biophysical Phenomena","G01.154","http://id.nlm.nih.gov/mesh/D055592"
"Phenomena and Processes","Physical Phenomena","G01","Biomechanical Phenomena","G01.154.090","http://id.nlm.nih.gov/mesh/D001696"
"Phenomena and Processes","Physical Phenomena","G01","Biophysical Processes","G01.154.100","http://id.nlm.nih.gov/mesh/D055597"
"Phenomena and Processes","Physical Phenomena","G01","Energy Transfer","G01.154.100.240","http://id.nlm.nih.gov/mesh/D004735"
"Phenomena and Processes","Physical Phenomena","G01","Fluorescence Resonance Energy Transfer","G01.154.100.240.280","http://id.nlm.nih.gov/mesh/D031541"
"Phenomena and Processes","Physical Phenomena","G01","Linear Energy Transfer","G01.154.100.240.400","http://id.nlm.nih.gov/mesh/D018499"
"Phenomena and Processes","Physical Phenomena","G01","Facilitated Diffusion","G01.154.100.280","http://id.nlm.nih.gov/mesh/D055459"
"Phenomena and Processes","Physical Phenomena","G01","Mechanotransduction, Cellular","G01.154.100.440","http://id.nlm.nih.gov/mesh/D040542"
"Phenomena and Processes","Physical Phenomena","G01","Osmosis","G01.154.100.600","http://id.nlm.nih.gov/mesh/D009995"
"Phenomena and Processes","Physical Phenomena","G01","Protein Folding","G01.154.100.640","http://id.nlm.nih.gov/mesh/D017510"
"Phenomena and Processes","Physical Phenomena","G01","Protein Refolding","G01.154.100.640.501","http://id.nlm.nih.gov/mesh/D058849"
"Phenomena and Processes","Physical Phenomena","G01","Protein Unfolding","G01.154.100.640.750","http://id.nlm.nih.gov/mesh/D058767"
