category,topic,tree_header,term,tree_number,descriptor_id
Phenomena and Processes,Metabolic Phenomena,G03,Metabolic Phenomena,G03,http://id.nlm.nih.gov/mesh/D055754
Phenomena and Processes,Metabolic Phenomena,G03,Acid-Base Equilibrium,G03.030,http://id.nlm.nih.gov/mesh/D000136
Phenomena and Processes,Metabolic Phenomena,G03,Body Composition,G03.180,http://id.nlm.nih.gov/mesh/D001823
Phenomena and Processes,Metabolic Phenomena,G03,Body Fat Distribution,G03.180.134,http://id.nlm.nih.gov/mesh/D050218
Phenomena and Processes,Metabolic Phenomena,G03,Adiposity,G03.180.134.500,http://id.nlm.nih.gov/mesh/D050154
Phenomena and Processes,Metabolic Phenomena,G03,Brain Chemistry,G03.200,http://id.nlm.nih.gov/mesh/D001923
Phenomena and Processes,Metabolic Phenomena,G03,Glycemic Index,G03.345,http://id.nlm.nih.gov/mesh/D038321
Phenomena and Processes,Metabolic Phenomena,G03,Metabolic Clearance Rate,G03.490,http://id.nlm.nih.gov/mesh/D008657
Phenomena and Processes,Metabolic Phenomena,G03,Metabolism,G03.495,http://id.nlm.nih.gov/mesh/D008660
Phenomena and Processes,Metabolic Phenomena,G03,Absorption,G03.495.023,http://id.nlm.nih.gov/mesh/D000042
Phenomena and Processes,Metabolic Phenomena,G03,"Absorption, Physiological",G03.495.023.500,http://id.nlm.nih.gov/mesh/D065567
Phenomena and Processes,Metabolic Phenomena,G03,Gastrointestinal Absorption,G03.495.023.500.374,http://id.nlm.nih.gov/mesh/D065569
Phenomena and Processes,Metabolic Phenomena,G03,Gastric Absorption,G03.495.023.500.374.249,http://id.nlm.nih.gov/mesh/D065570
Phenomena and Processes,Metabolic Phenomena,G03,Intestinal Absorption,G03.495.023.500.374.500,http://id.nlm.nih.gov/mesh/D007408
Phenomena and Processes,Metabolic Phenomena,G03,Intestinal Reabsorption,G03.495.023.500.374.500.500,http://id.nlm.nih.gov/mesh/D065628
Phenomena and Processes,Metabolic Phenomena,G03,Oral Mucosal Absorption,G03.495.023.500.374.650,http://id.nlm.nih.gov/mesh/D065568
Phenomena and Processes,Metabolic Phenomena,G03,Rectal Absorption,G03.495.023.500.374.825,http://id.nlm.nih.gov/mesh/D065590
Phenomena and Processes,Metabolic Phenomena,G03,Intramuscular Absorption,G03.495.023.500.562,http://id.nlm.nih.gov/mesh/D065586
Phenomena and Processes,Metabolic Phenomena,G03,Ocular Absorption,G03.495.023.500.656,http://id.nlm.nih.gov/mesh/D065587
Phenomena and Processes,Metabolic Phenomena,G03,Peritoneal Absorption,G03.495.023.500.667,http://id.nlm.nih.gov/mesh/D065629
Phenomena and Processes,Metabolic Phenomena,G03,Renal Reabsorption,G03.495.023.500.679,http://id.nlm.nih.gov/mesh/D065608
Phenomena and Processes,Metabolic Phenomena,G03,Respiratory Tract Absorption,G03.495.023.500.703,http://id.nlm.nih.gov/mesh/D065589
Phenomena and Processes,Metabolic Phenomena,G03,Nasal Absorption,G03.495.023.500.703.500,http://id.nlm.nih.gov/mesh/D065588
Phenomena and Processes,Metabolic Phenomena,G03,Skin Absorption,G03.495.023.500.750,http://id.nlm.nih.gov/mesh/D012869
Phenomena and Processes,Metabolic Phenomena,G03,Subcutaneous Absorption,G03.495.023.500.875,http://id.nlm.nih.gov/mesh/D065566
Phenomena and Processes,Metabolic Phenomena,G03,Vaginal Absorption,G03.495.023.500.937,http://id.nlm.nih.gov/mesh/D066228
Phenomena and Processes,Metabolic Phenomena,G03,Acylation,G03.495.095,http://id.nlm.nih.gov/mesh/D000215
Phenomena and Processes,Metabolic Phenomena,G03,Acetylation,G03.495.095.052,http://id.nlm.nih.gov/mesh/D000107
Phenomena and Processes,Metabolic Phenomena,G03,Aminoacylation,G03.495.095.055,http://id.nlm.nih.gov/mesh/D049148
Phenomena and Processes,Metabolic Phenomena,G03,Transfer RNA Aminoacylation,G03.495.095.055.860,http://id.nlm.nih.gov/mesh/D046249
Phenomena and Processes,Metabolic Phenomena,G03,Aerobiosis,G03.495.112,http://id.nlm.nih.gov/mesh/D000332
Phenomena and Processes,Metabolic Phenomena,G03,Alkylation,G03.495.130,http://id.nlm.nih.gov/mesh/D000478
Phenomena and Processes,Metabolic Phenomena,G03,Methylation,G03.495.130.538,http://id.nlm.nih.gov/mesh/D008745
Phenomena and Processes,Metabolic Phenomena,G03,DNA Methylation,G03.495.130.538.161,http://id.nlm.nih.gov/mesh/D019175
Phenomena and Processes,Metabolic Phenomena,G03,Amination,G03.495.140,http://id.nlm.nih.gov/mesh/D000586
Phenomena and Processes,Metabolic Phenomena,G03,Anaerobiosis,G03.495.146,http://id.nlm.nih.gov/mesh/D000693
Phenomena and Processes,Metabolic Phenomena,G03,Autotrophic Processes,G03.495.153,http://id.nlm.nih.gov/mesh/D052818
Phenomena and Processes,Metabolic Phenomena,G03,Chemoautotrophic Growth,G03.495.153.314,http://id.nlm.nih.gov/mesh/D052837
Phenomena and Processes,Metabolic Phenomena,G03,Nitrogen Fixation,G03.495.153.630,http://id.nlm.nih.gov/mesh/D009586
Phenomena and Processes,Metabolic Phenomena,G03,Biocatalysis,G03.495.159,http://id.nlm.nih.gov/mesh/D055162
Phenomena and Processes,Metabolic Phenomena,G03,Biological Transport,G03.495.166,http://id.nlm.nih.gov/mesh/D001692
Phenomena and Processes,Metabolic Phenomena,G03,"Biological Transport, Active",G03.495.166.310,http://id.nlm.nih.gov/mesh/D001693
Phenomena and Processes,Metabolic Phenomena,G03,"Active Transport, Cell Nucleus",G03.495.166.310.100,http://id.nlm.nih.gov/mesh/D021581
Phenomena and Processes,Metabolic Phenomena,G03,Capillary Permeability,G03.495.166.330,http://id.nlm.nih.gov/mesh/D002199
Phenomena and Processes,Metabolic Phenomena,G03,Cell Membrane Permeability,G03.495.166.335,http://id.nlm.nih.gov/mesh/D002463
Phenomena and Processes,Metabolic Phenomena,G03,Cytoplasmic Streaming,G03.495.166.355,http://id.nlm.nih.gov/mesh/D003595
Phenomena and Processes,Metabolic Phenomena,G03,Axonal Transport,G03.495.166.355.040,http://id.nlm.nih.gov/mesh/D001370
Phenomena and Processes,Metabolic Phenomena,G03,Facilitated Diffusion,G03.495.166.427,http://id.nlm.nih.gov/mesh/D055459
Phenomena and Processes,Metabolic Phenomena,G03,Ion Transport,G03.495.166.500,http://id.nlm.nih.gov/mesh/D017136
Phenomena and Processes,Metabolic Phenomena,G03,Calcium Signaling,G03.495.166.500.100,http://id.nlm.nih.gov/mesh/D020013
Phenomena and Processes,Metabolic Phenomena,G03,Protein Transport,G03.495.166.700,http://id.nlm.nih.gov/mesh/D021381
Phenomena and Processes,Metabolic Phenomena,G03,"Active Transport, Cell Nucleus",G03.495.166.700.100,http://id.nlm.nih.gov/mesh/D021581
Phenomena and Processes,Metabolic Phenomena,G03,Respiratory Transport,G03.495.166.775,http://id.nlm.nih.gov/mesh/D015657
Phenomena and Processes,Metabolic Phenomena,G03,Pulmonary Gas Exchange,G03.495.166.775.602,http://id.nlm.nih.gov/mesh/D011659
Phenomena and Processes,Metabolic Phenomena,G03,RNA Transport,G03.495.166.850,http://id.nlm.nih.gov/mesh/D034443
Phenomena and Processes,Metabolic Phenomena,G03,Secretory Pathway,G03.495.166.925,http://id.nlm.nih.gov/mesh/D055571
Phenomena and Processes,Metabolic Phenomena,G03,Transcytosis,G03.495.166.962,http://id.nlm.nih.gov/mesh/D057900
Phenomena and Processes,Metabolic Phenomena,G03,Transcellular Cell Migration,G03.495.166.962.500,http://id.nlm.nih.gov/mesh/D057688
Phenomena and Processes,Metabolic Phenomena,G03,Biotinylation,G03.495.233,http://id.nlm.nih.gov/mesh/D019921
Phenomena and Processes,Metabolic Phenomena,G03,Biotransformation,G03.495.244,http://id.nlm.nih.gov/mesh/D001711
Phenomena and Processes,Metabolic Phenomena,G03,"Activation, Metabolic",G03.495.244.224,http://id.nlm.nih.gov/mesh/D065767
Phenomena and Processes,Metabolic Phenomena,G03,"Inactivation, Metabolic",G03.495.244.450,http://id.nlm.nih.gov/mesh/D008658
Phenomena and Processes,Metabolic Phenomena,G03,"Metabolic Detoxication, Phase I",G03.495.244.450.500,http://id.nlm.nih.gov/mesh/D050216
Phenomena and Processes,Metabolic Phenomena,G03,"Metabolic Detoxication, Phase II",G03.495.244.450.750,http://id.nlm.nih.gov/mesh/D050217
Phenomena and Processes,Metabolic Phenomena,G03,Metabolic Clearance Rate,G03.495.244.640,http://id.nlm.nih.gov/mesh/D008657
Phenomena and Processes,Metabolic Phenomena,G03,Carbohydrate Metabolism,G03.495.256,http://id.nlm.nih.gov/mesh/D050260
Phenomena and Processes,Metabolic Phenomena,G03,Fermentation,G03.495.256.249,http://id.nlm.nih.gov/mesh/D005285
Phenomena and Processes,Metabolic Phenomena,G03,Gluconeogenesis,G03.495.256.500,http://id.nlm.nih.gov/mesh/D005943
